"Video URL","User Channel URL","User Name","Comment Text","Number of Likes","Number of Replies","Comment Time","Replies"
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@miguelangelriverasandoval3120","@miguelangelriverasandoval3120","Juan eres el mejor creador de contenido  de viajes de todo latam","73","2","2 days ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@cindyleon4884","@cindyleon4884","De qué te cambia la manera de pensar y de ver la vida, sin lugar a dudas! Interesante mirada al otro del mundo para todos aquellos que nos quejamos día tras día. Yo por mi parte estoy agradeciendo cada minuto la vida que me ha tocado vivir. 🙏","9","0","2 days ago (edited)",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@jessicaandreaescobarcardon2883","@jessicaandreaescobarcardon2883","Me genera muchas sensaciones ver esto, eres muy teso y te admiro mucho; me gusta mucho conocer nuevas culturas, pero creo que esto ya es otro nivel, me confronta demasiado ya que soy un poco asquienta. Gracias Juan por mostrarnos esto!","13","0","2 days ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@ClaraMoreno-sv2le","@ClaraMoreno-sv2le","Siempre estaré agradecida por sus excelentes videos,con los cuales aprendo cada vez mas costumbres del planeta saludos a la abuela","2","0","17 hours ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@yennyhm","@yennyhm","Wow este video es muy muy fuerte! Mis respetos para Juan. No me atreveria a ir a un lugar asi. Es demasiad para mi. 
Valiente este muchacho, esta exponiendo su salud alli. Un abrazo desde Perú y mi agradecimiento total por todo ese esfuerzo de compartirnos sus experiencias Dios te guarde de todo mal 🙌🏼❤️","1","0","1 day ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@CESAR18604","@CESAR18604","Los Indus son inmortales, viven de una manera casi imposible para otras culturas, los elementos necesarios para la vida están contaminados el aíre, el agua, la tierra y si sobreviven a eso se juegan la vida en el transporte público.","27","0","2 days ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@adrianabarboza9451","@adrianabarboza9451","Juan todos tus videos de la India han resultado retadores de ver… no me imagino lo que ha sido grabarlos. Exc videos, gracias por darnos esta ventana al mundo","11","0","2 days ago (edited)",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@hdsystems1990","@hdsystems1990","4:20 Apenas llevo esto de video viéndolo, pero me atrevo a decir que este es el video mas impactante que he visto de este canal.","17","1","2 days ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@marielosarias6403","@marielosarias6403","Muchas gracias Juan por todo el esfuerzo  en presentarnos estas realidades. Siempre valoro tu actitud respetuosa y muy humanista. Éso hace grande y respetable tu canal. Saludos desde la Costa Rica 🌻🌞","1","0","1 day ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@mmmarce1","@mmmarce1","Eres extraordinario, querido Juan. No me cansaré de agradecer todo lo que nos compartes y el gran esfuerzo que haces en lugares tan críticos y complejos como este. Mil gracias por tanto.  ❤😘😘","2","0","1 day ago (edited)",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@osmarazuniga7994","@osmarazuniga7994","Y el perrito 🐶 dice haber donde está mi pedazo de carne asada 😂😂😂😂😂😂😂","4","0","1 day ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@anastasiaurgiles6210","@anastasiaurgiles6210","La próxima vez, lleva botas de caucho","2","0","14 hours ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@gustavojerez6968","@gustavojerez6968","Que cosas tan locas se ven en este mundo increíble","2","0","4 hours ago",""
"https://www.youtube.com/watch?v=uFVVo_YlKgw","https://www.youtube.com/@dk_3","@dk_3","Parcero eso si es tener huev0s!!! 
 eres una persona muy valiente. 
Cuídense mucho y cada uno de tus suscriptores esperamos tu siguiente video con ansias","2","0","22 hours ago",""
